Date : 2024-05-20 01:15:49
Directory : /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal
Total : 56 files,  9057 codes, 0 comments, 1551 blanks, all 10608 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/mocks/core_mocks.go          | Go               |        250 |          0 |         44 |        294 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/chat.go                 | Go               |        134 |          0 |         21 |        155 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/claim.go                | Go               |         52 |          0 |          8 |         60 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/image.go                | Go               |         31 |          0 |          9 |         40 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/interest.go             | Go               |         92 |          0 |         18 |        110 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/like.go                 | Go               |         64 |          0 |         13 |         77 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/person.go               | Go               |         78 |          0 |         19 |         97 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/postgres.go             | Go               |         10 |          0 |          4 |         14 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/repo/repo_test.go            | Go               |        884 |          0 |        215 |      1,099 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/usecase/chats.go             | Go               |         31 |          0 |          6 |         37 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/usecase/chats_test.go        | Go               |        133 |          0 |         26 |        159 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/usecase/usecase.go           | Go               |        103 |          0 |         23 |        126 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/feed/usecase/usecase_test.go      | Go               |        432 |          0 |         64 |        496 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/delivery/grpc/grpc.go       | Go               |         27 |          0 |          6 |         33 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/delivery/http/http.go       | Go               |        186 |          0 |         40 |        226 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/image_models.go             | Go               |         26 |          0 |          4 |         30 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/interfaces.go               | Go               |         17 |          0 |          4 |         21 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/mocks/core_mocks.go         | Go               |         76 |          0 |         16 |         92 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/protos/gen/image.pb.go      | Go               |        202 |          0 |         28 |        230 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/protos/gen/image_grpc.pb.go | Go               |         94 |          0 |         16 |        110 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/protos/proto/image.proto    | Protocol Buffers |         15 |          0 |          7 |         22 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/repo/image.go               | Go               |        175 |          0 |         37 |        212 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/repo/repo_test.go           | Go               |        179 |          0 |         47 |        226 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/usecase/image.go            | Go               |         69 |          0 |         20 |         89 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/image/usecase/image_test.go       | Go               |        174 |          0 |         28 |        202 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/logs/log.go                       | Go               |         21 |          0 |          6 |         27 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/pkg/middlewares.go                | Go               |         96 |          0 |         15 |        111 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/pkg/requests.go                   | Go               |         34 |          0 |          8 |         42 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/pkg/responces.go                  | Go               |         32 |          0 |          7 |         39 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/pkg/security.go                   | Go               |         40 |          0 |          8 |         48 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/types/errors.go                   | Go               |          4 |          0 |          3 |          7 |
| /home/longwave/techpark/claims/2024_1_Los_ping-inos/internal/types/types.go                    | Go               |          8 |          0 |          4 |         12 |
| Total                                                                                          |                  |      9,057 |          0 |      1,551 |     10,608 |
+------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
